country_code,year,health_pc_usd,country_name
DEU,2001,2999.264,Germany
DEU,2002,3227.193,Germany
DEU,2003,3314.847,Germany
DEU,2004,3379.007,Germany
DEU,2005,3416.8,Germany
DEU,2006,3549.395,Germany
DEU,2007,3732.811,Germany
DEU,2008,3936.122,Germany
DEU,2009,4140.948,Germany
DEU,2010,4404.906,Germany
DEU,2011,4547.394,Germany
DEU,2012,4724.81,Germany
DEU,2013,4932.973,Germany
DEU,2014,5132.263,Germany
DEU,2015,5275.52,Germany
DEU,2016,5645.59,Germany
DEU,2017,5940.117,Germany
DEU,2018,6247.099,Germany
DEU,2019,6785.384,Germany
DEU,2020,7364.289,Germany
DEU,2021,8102.632,Germany
DEU,2022,8651.868,Germany
DEU,2023,8503.185,Germany
DEU,2024,9365.305,Germany
DNK,2000,2346.244,Denmark
DNK,2001,2473.023,Denmark
DNK,2002,2711.668,Denmark
DNK,2003,2722.828,Denmark
DNK,2004,2920.465,Denmark
DNK,2005,3014.982,Denmark
DNK,2006,3287.759,Denmark
DNK,2007,3563.241,Denmark
DNK,2008,3777.707,Denmark
DNK,2009,4016.392,Denmark
DNK,2010,4265.983,Denmark
DNK,2011,4266.254,Denmark
DNK,2012,4426.627,Denmark
DNK,2013,4517.248,Denmark
DNK,2014,4589.765,Denmark
DNK,2015,4720.578,Denmark
DNK,2016,4894.079,Denmark
DNK,2017,5112.959,Denmark
DNK,2018,5306.704,Denmark
DNK,2019,5656.597,Denmark
DNK,2020,6146.851,Denmark
DNK,2021,6912.955,Denmark
DNK,2022,6660.477,Denmark
DNK,2023,6555.001,Denmark
DNK,2024,7070.848,Denmark
FIN,2000,1877.273,Finland
FIN,2001,1982.835,Finland
FIN,2002,2201.215,Finland
FIN,2003,2276.855,Finland
FIN,2004,2478.561,Finland
FIN,2005,2573.5,Finland
FIN,2006,2751.45,Finland
FIN,2007,3005.062,Finland
FIN,2008,3243.775,Finland
FIN,2009,3281.65,Finland
FIN,2010,3427.637,Finland
FIN,2011,3598.302,Finland
FIN,2012,3786.188,Finland
FIN,2013,3933.236,Finland
FIN,2014,3955.755,Finland
FIN,2015,3993.509,Finland
FIN,2016,4103.554,Finland
FIN,2017,4215.309,Finland
FIN,2018,4330.443,Finland
FIN,2019,4659.76,Finland
FIN,2020,4966.75,Finland
FIN,2021,5394.731,Finland
FIN,2022,5764.968,Finland
FIN,2023,6275.622,Finland
FIN,2024,6655.363,Finland
FRA,2000,2688.137,France
FRA,2001,2876.114,France
FRA,2002,3152.016,France
FRA,2003,3055.948,France
FRA,2004,3170.751,France
FRA,2005,3264.574,France
FRA,2006,3443.326,France
FRA,2007,3588.383,France
FRA,2008,3729.353,France
FRA,2009,3881.073,France
FRA,2010,4046.557,France
FRA,2011,4165.983,France
FRA,2012,4313.624,France
FRA,2013,4581.195,France
FRA,2014,4653.386,France
FRA,2015,4698.983,France
FRA,2016,4959.49,France
FRA,2017,5034.039,France
FRA,2018,5125.643,France
FRA,2019,5526.099,France
FRA,2020,5873.888,France
FRA,2021,6395.09,France
FRA,2022,6700.691,France
FRA,2023,6847.931,France
FRA,2024,7367.083,France
GBR,2000,1889.472,United Kingdom
GBR,2001,2086.62,United Kingdom
GBR,2002,2336.532,United Kingdom
GBR,2003,2459.016,United Kingdom
GBR,2004,2722.725,United Kingdom
GBR,2005,2727.31,United Kingdom
GBR,2006,2911.825,United Kingdom
GBR,2007,3061.545,United Kingdom
GBR,2008,3201.19,United Kingdom
GBR,2009,3252.629,United Kingdom
GBR,2010,3377.766,United Kingdom
GBR,2011,3439.353,United Kingdom
GBR,2012,3583.624,United Kingdom
GBR,2013,3696.888,United Kingdom
GBR,2014,3787.225,United Kingdom
GBR,2015,3843.0,United Kingdom
GBR,2016,3984.376,United Kingdom
GBR,2017,4084.405,United Kingdom
GBR,2018,4215.219,United Kingdom
GBR,2019,4569.446,United Kingdom
GBR,2020,5380.946,United Kingdom
GBR,2021,5784.65,United Kingdom
GBR,2022,6187.968,United Kingdom
GBR,2023,6412.448,United Kingdom
GBR,2024,6747.127,United Kingdom
ISR,2000,1550.93,Israel
ISR,2001,1653.134,Israel
ISR,2002,1691.502,Israel
ISR,2003,1635.888,Israel
ISR,2004,1708.267,Israel
ISR,2005,1756.34,Israel
ISR,2006,1738.392,Israel
ISR,2007,1847.801,Israel
ISR,2008,1839.047,Israel
ISR,2009,1904.056,Israel
ISR,2010,1972.052,Israel
ISR,2011,2081.778,Israel
ISR,2012,2223.345,Israel
ISR,2013,2238.455,Israel
ISR,2014,2237.584,Israel
ISR,2015,2310.568,Israel
ISR,2016,2524.083,Israel
ISR,2017,2626.181,Israel
ISR,2018,2748.975,Israel
ISR,2019,2811.711,Israel
ISR,2020,3015.382,Israel
ISR,2021,3476.472,Israel
ISR,2022,3702.739,Israel
ISR,2023,3839.515,Israel
ISR,2024,4351.977,Israel
ITA,2000,2030.993,Italy
ITA,2001,2152.233,Italy
ITA,2002,2291.476,Italy
ITA,2003,2285.683,Italy
ITA,2004,2444.841,Italy
ITA,2005,2495.609,Italy
ITA,2006,2649.653,Italy
ITA,2007,2681.162,Italy
ITA,2008,2913.415,Italy
ITA,2009,2914.971,Italy
ITA,2010,3076.613,Italy
ITA,2011,3064.841,Italy
ITA,2012,3059.487,Italy
ITA,2013,3060.035,Italy
ITA,2014,3073.315,Italy
ITA,2015,3126.463,Italy
ITA,2016,3317.723,Italy
ITA,2017,3426.725,Italy
ITA,2018,3513.294,Italy
ITA,2019,3798.028,Italy
ITA,2020,4027.251,Italy
ITA,2021,4408.746,Italy
ITA,2022,4744.19,Italy
ITA,2023,4847.444,Italy
ITA,2024,5164.358,Italy
JPN,2000,1847.786,Japan
JPN,2001,1945.556,Japan
JPN,2002,2065.133,Japan
JPN,2003,2194.437,Japan
JPN,2004,2303.68,Japan
JPN,2005,2471.186,Japan
JPN,2006,2561.219,Japan
JPN,2007,2689.916,Japan
JPN,2008,2799.198,Japan
JPN,2009,2971.377,Japan
JPN,2010,3169.19,Japan
JPN,2011,3740.756,Japan
JPN,2012,3970.765,Japan
JPN,2013,4308.252,Japan
JPN,2014,4328.364,Japan
JPN,2015,4516.862,Japan
JPN,2016,4292.171,Japan
JPN,2017,4405.469,Japan
JPN,2018,4543.305,Japan
JPN,2019,4659.58,Japan
JPN,2020,4856.295,Japan
JPN,2021,5437.676,Japan
JPN,2022,5983.706,Japan
JPN,2023,5619.357,Japan
JPN,2024,5789.739,Japan
KOR,2000,717.245,South Korea
KOR,2001,839.324,South Korea
KOR,2002,860.521,South Korea
KOR,2003,1016.867,South Korea
KOR,2004,1081.713,South Korea
KOR,2005,1186.364,South Korea
KOR,2006,1330.036,South Korea
KOR,2007,1449.15,South Korea
KOR,2008,1575.668,South Korea
KOR,2009,1724.169,South Korea
KOR,2010,1917.291,South Korea
KOR,2011,2014.281,South Korea
KOR,2012,2101.789,South Korea
KOR,2013,2163.514,South Korea
KOR,2014,2255.9,South Korea
KOR,2015,2539.131,South Korea
KOR,2016,2689.795,South Korea
KOR,2017,2832.054,South Korea
KOR,2018,3090.994,South Korea
KOR,2019,3374.802,South Korea
KOR,2020,3618.078,South Korea
KOR,2021,4106.425,South Korea
KOR,2022,4634.324,South Korea
KOR,2023,4586.306,South Korea
KOR,2024,4797.148,South Korea
NLD,2000,2648.058,Netherlands
NLD,2001,2883.91,Netherlands
NLD,2002,3296.97,Netherlands
NLD,2003,3308.526,Netherlands
NLD,2004,3494.551,Netherlands
NLD,2005,3583.435,Netherlands
NLD,2006,3828.072,Netherlands
NLD,2007,4077.055,Netherlands
NLD,2008,4378.362,Netherlands
NLD,2009,4433.866,Netherlands
NLD,2010,4474.935,Netherlands
NLD,2011,4567.378,Netherlands
NLD,2012,4782.333,Netherlands
NLD,2013,4923.912,Netherlands
NLD,2014,4934.568,Netherlands
NLD,2015,4928.351,Netherlands
NLD,2016,5095.836,Netherlands
NLD,2017,5253.774,Netherlands
NLD,2018,5482.27,Netherlands
NLD,2019,5908.388,Netherlands
NLD,2020,6515.942,Netherlands
NLD,2021,7316.709,Netherlands
NLD,2022,7516.459,Netherlands
NLD,2023,7614.783,Netherlands
NLD,2024,8436.399,Netherlands
NOR,2000,2794.407,Norway
NOR,2001,2939.192,Norway
NOR,2002,3389.226,Norway
NOR,2003,3447.584,Norway
NOR,2004,3655.402,Norway
NOR,2005,3740.873,Norway
NOR,2006,3964.611,Norway
NOR,2007,4311.955,Norway
NOR,2008,4604.504,Norway
NOR,2009,4675.969,Norway
NOR,2010,4777.569,Norway
NOR,2011,4965.184,Norway
NOR,2012,5209.577,Norway
NOR,2013,5485.874,Norway
NOR,2014,5707.159,Norway
NOR,2015,5726.909,Norway
NOR,2016,5902.381,Norway
NOR,2017,6234.379,Norway
NOR,2018,6495.078,Norway
NOR,2019,6907.682,Norway
NOR,2020,7220.869,Norway
NOR,2021,7889.755,Norway
NOR,2022,8532.861,Norway
NOR,2023,8908.658,Norway
NOR,2024,9392.803,Norway
NZL,2000,1659.53,New Zealand
NZL,2001,1800.589,New Zealand
NZL,2002,1920.964,New Zealand
NZL,2003,1918.199,New Zealand
NZL,2004,2077.647,New Zealand
NZL,2005,2194.439,New Zealand
NZL,2006,2437.768,New Zealand
NZL,2007,2538.829,New Zealand
NZL,2008,2689.369,New Zealand
NZL,2009,2804.429,New Zealand
NZL,2010,2890.531,New Zealand
NZL,2011,3000.08,New Zealand
NZL,2012,3095.458,New Zealand
NZL,2013,3237.704,New Zealand
NZL,2014,3334.7,New Zealand
NZL,2015,3357.183,New Zealand
NZL,2016,3545.639,New Zealand
NZL,2017,3694.968,New Zealand
NZL,2018,3712.001,New Zealand
NZL,2019,4003.766,New Zealand
NZL,2020,4352.668,New Zealand
NZL,2021,4869.351,New Zealand
NZL,2022,6144.557,New Zealand
NZL,2023,6014.038,New Zealand
NZL,2024,6096.591,New Zealand
SWE,2000,2196.594,Sweden
SWE,2001,2398.864,Sweden
SWE,2002,2634.873,Sweden
SWE,2003,2673.303,Sweden
SWE,2004,2773.219,Sweden
SWE,2005,2810.035,Sweden
SWE,2006,3001.015,Sweden
SWE,2007,3214.914,Sweden
SWE,2008,3402.014,Sweden
SWE,2009,3436.468,Sweden
SWE,2010,3412.017,Sweden
SWE,2011,4468.222,Sweden
SWE,2012,4699.39,Sweden
SWE,2013,4745.65,Sweden
SWE,2014,4884.905,Sweden
SWE,2015,5029.867,Sweden
SWE,2016,5162.539,Sweden
SWE,2017,5249.588,Sweden
SWE,2018,5452.726,Sweden
SWE,2019,5791.888,Sweden
SWE,2020,6068.716,Sweden
SWE,2021,6617.103,Sweden
SWE,2022,6976.458,Sweden
SWE,2023,7363.981,Sweden
SWE,2024,7870.786,Sweden
USA,2000,4537.621,United States
USA,2001,4889.819,United States
USA,2002,5317.918,United States
USA,2003,5728.295,United States
USA,2004,6071.449,United States
USA,2005,6432.954,United States
USA,2006,6810.461,United States
USA,2007,7168.289,United States
USA,2008,7386.164,United States
USA,2009,7645.901,United States
USA,2010,7880.057,United States
USA,2011,8080.651,United States
USA,2012,8347.52,United States
USA,2013,8520.068,United States
USA,2014,8926.993,United States
USA,2015,9355.481,United States
USA,2016,9715.871,United States
USA,2017,10036.584,United States
USA,2018,10436.469,United States
USA,2019,10854.203,United States
USA,2020,11926.393,United States
USA,2021,12375.208,United States
USA,2022,12898.24,United States
USA,2023,13817.649,United States
USA,2024,14884.941,United States
