country_code,year,govt_revenue,country_name
AUS,2000,35.9548860679733,Australia
AUS,2001,34.8294026857005,Australia
AUS,2002,35.9487176122761,Australia
AUS,2003,36.0952756821198,Australia
AUS,2004,35.6093331290771,Australia
AUS,2005,36.1706226016372,Australia
AUS,2006,36.1888744351405,Australia
AUS,2007,35.7097132436715,Australia
AUS,2008,34.1412529206823,Australia
AUS,2009,32.909809074544,Australia
AUS,2010,32.0080093284426,Australia
AUS,2011,32.1426402764876,Australia
AUS,2012,32.8297806809817,Australia
AUS,2013,33.3493461571962,Australia
AUS,2014,33.6481763898641,Australia
AUS,2015,34.6152466755068,Australia
AUS,2016,34.6855015600498,Australia
AUS,2017,35.1737583987807,Australia
AUS,2018,35.1452611439885,Australia
AUS,2019,34.7632518750635,Australia
AUS,2020,35.5736094355517,Australia
AUS,2021,35.6649429870655,Australia
AUS,2022,35.3553196557215,Australia
AUS,2023,36.4325973331822,Australia
AUS,2024,36.2015821995465,Australia
AUS,2025,35.9525628013432,Australia
AUS,2026,36.306626173142,Australia
CAN,2000,43.2222705414029,Canada
CAN,2001,41.646928075223,Canada
CAN,2002,40.1813195006425,Canada
CAN,2003,40.1813273910996,Canada
CAN,2004,39.9349120444161,Canada
CAN,2005,40.1107914377563,Canada
CAN,2006,40.5194694120823,Canada
CAN,2007,40.3387039421016,Canada
CAN,2008,38.9598084778832,Canada
CAN,2009,39.5393977346637,Canada
CAN,2010,38.3263867547634,Canada
CAN,2011,38.2665102648553,Canada
CAN,2012,38.4016865139632,Canada
CAN,2013,38.4660351678831,Canada
CAN,2014,38.5453792624987,Canada
CAN,2015,39.9565724379673,Canada
CAN,2016,40.2998713920026,Canada
CAN,2017,40.343102836954,Canada
CAN,2018,41.0222416048844,Canada
CAN,2019,40.5723552805781,Canada
CAN,2020,41.4132771184498,Canada
CAN,2021,42.4135328324036,Canada
CAN,2022,41.0304036891807,Canada
CAN,2023,41.6453724384958,Canada
CAN,2024,42.2216653353926,Canada
CAN,2025,42.1855330641767,Canada
CAN,2026,41.8800312062608,Canada
CHE,2000,33.1854731002779,Switzerland
CHE,2001,32.3618147132915,Switzerland
CHE,2002,32.7840534771231,Switzerland
CHE,2003,32.4158196853839,Switzerland
CHE,2004,32.127165073784,Switzerland
CHE,2005,32.0843472084514,Switzerland
CHE,2006,31.7205613835508,Switzerland
CHE,2007,31.0041186471838,Switzerland
CHE,2008,32.2184772947213,Switzerland
CHE,2009,32.8180678169789,Switzerland
CHE,2010,32.1046238881846,Switzerland
CHE,2011,32.7372634770342,Switzerland
CHE,2012,32.2952737596014,Switzerland
CHE,2013,32.4340103676004,Switzerland
