country_code,year,unemployment_rate,country_name
AUS,2000,6.28554620833333,Australia
AUS,2001,6.74217304166667,Australia
AUS,2002,6.36891133333333,Australia
AUS,2003,5.92842029166667,Australia
AUS,2004,5.39673355,Australia
AUS,2005,5.03388074166666,Australia
AUS,2006,4.785239725,Australia
AUS,2007,4.37915150833333,Australia
AUS,2008,4.23432970833333,Australia
AUS,2009,5.56038543333333,Australia
AUS,2010,5.21334044166667,Australia
AUS,2011,5.08119518333333,Australia
AUS,2012,5.22337585833333,Australia
AUS,2013,5.6619398,Australia
AUS,2014,6.07724431666667,Australia
AUS,2015,6.05642340833333,Australia
AUS,2016,5.714148675,Australia
AUS,2017,5.60633133333334,Australia
AUS,2018,5.30881495833333,Australia
AUS,2019,5.164947325,Australia
AUS,2020,6.44296391666667,Australia
AUS,2021,5.14025670833333,Australia
AUS,2022,3.725104275,Australia
AUS,2023,3.68693025833333,Australia
AUS,2024,4.0142397917,Australia
AUS,2025,4.1974115916,Australia
AUT,2000,3.93333333333333,Austria
AUT,2001,3.98333333333333,Austria
AUT,2002,4.38333333333333,Austria
AUT,2003,4.75833333333333,Austria
AUT,2004,5.89166666666667,Austria
AUT,2005,6.03333333333333,Austria
AUT,2006,5.64166666666667,Austria
AUT,2007,5.21666666666667,Austria
AUT,2008,4.44166666666666,Austria
AUT,2009,5.66666666666667,Austria
AUT,2010,5.19166666666667,Austria
AUT,2011,4.9,Austria
AUT,2012,5.19166666666667,Austria
AUT,2013,5.725,Austria
AUT,2014,6.03333333333333,Austria
AUT,2015,6.15,Austria
AUT,2016,6.45,Austria
AUT,2017,5.925,Austria
AUT,2018,5.20833333333333,Austria
AUT,2019,4.84166666666667,Austria
AUT,2020,6.025,Austria
AUT,2021,6.2,Austria
AUT,2022,4.75833333333334,Austria
AUT,2023,5.10833333333333,Austria
AUT,2024,5.175,Austria
AUT,2025,5.68333333333334,Austria
BEL,2000,6.875,Belgium
BEL,2001,6.59166666666667,Belgium
BEL,2002,7.525,Belgium
BEL,2003,8.175,Belgium
BEL,2004,8.39166666666667,Belgium
BEL,2005,8.43333333333333,Belgium
BEL,2006,8.25,Belgium
BEL,2007,7.48333333333333,Belgium
BEL,2008,6.975,Belgium
BEL,2009,7.99166666666667,Belgium
BEL,2010,8.375,Belgium
BEL,2011,7.21666666666667,Belgium
BEL,2012,7.63333333333333,Belgium
BEL,2013,8.55,Belgium
BEL,2014,8.65,Belgium
BEL,2015,8.65,Belgium
BEL,2016,7.85,Belgium
BEL,2017,7.1,Belgium
BEL,2018,5.95833333333333,Belgium
BEL,2019,5.36666666666667,Belgium
BEL,2020,5.54166666666667,Belgium
BEL,2021,6.275,Belgium
BEL,2022,5.575,Belgium
BEL,2023,5.525,Belgium
BEL,2024,5.7,Belgium
BEL,2025,6.19166666666667,Belgium
CAN,2000,6.81666666666666,Canada
CAN,2001,7.21666666666667,Canada
CAN,2002,7.675,Canada
CAN,2003,7.575,Canada
CAN,2004,7.19166666666667,Canada
CAN,2005,6.75833333333334,Canada
CAN,2006,6.46666666666667,Canada
CAN,2007,6.16666666666667,Canada
CAN,2008,6.29166666666667,Canada
CAN,2009,8.45,Canada
CAN,2010,8.175,Canada
CAN,2011,7.64166666666667,Canada
CAN,2012,7.41666666666667,Canada
CAN,2013,7.16666666666667,Canada
CAN,2014,7.04166666666667,Canada
CAN,2015,7.0,Canada
CAN,2016,7.06666666666666,Canada
CAN,2017,6.43333333333334,Canada
CAN,2018,5.84166666666667,Canada
CAN,2019,5.68333333333333,Canada
CAN,2020,9.69166666666666,Canada
CAN,2021,7.53333333333333,Canada
CAN,2022,5.275,Canada
CAN,2023,5.38333333333333,Canada
CAN,2024,6.35,Canada
CAN,2025,6.825,Canada
CHE,2010,4.80362537037619,Switzerland
CHE,2011,4.4016683940455,Switzerland
CHE,2012,4.48418823731343,Switzerland
CHE,2013,4.74729214222204,Switzerland
CHE,2014,4.8299875153988,Switzerland
CHE,2015,4.8006385962522,Switzerland
CHE,2016,4.91918049275895,Switzerland
CHE,2017,4.79758753157672,Switzerland
CHE,2018,4.7144139637247,Switzerland
CHE,2019,4.39445184230662,Switzerland
CHE,2020,4.81532795489938,Switzerland
CHE,2021,5.01505823672932,Switzerland
CHE,2022,4.12331116752149,Switzerland
CHE,2023,4.04319365712237,Switzerland
CHE,2024,4.34068419757686,Switzerland
CHE,2025,4.84040845200224,Switzerland
DEU,2000,8.00833333333333,Germany
DEU,2001,7.85833333333333,Germany
DEU,2002,8.68333333333333,Germany
DEU,2003,9.80833333333334,Germany
DEU,2004,10.5,Germany
DEU,2005,11.2833333333333,Germany
DEU,2006,10.275,Germany
DEU,2007,8.54166666666667,Germany
DEU,2008,7.425,Germany
DEU,2009,7.34166666666667,Germany
DEU,2010,6.575,Germany
DEU,2011,5.525,Germany
DEU,2012,5.08333333333333,Germany
DEU,2013,4.94166666666667,Germany
DEU,2014,4.70833333333333,Germany
DEU,2015,4.35833333333333,Germany
DEU,2016,3.9,Germany
DEU,2017,3.525,Germany
DEU,2018,3.19166666666667,Germany
DEU,2019,2.95,Germany
DEU,2020,3.625,Germany
DEU,2021,3.6,Germany
DEU,2022,3.14166666666666,Germany
DEU,2023,3.08333333333333,Germany
DEU,2024,3.39166666666666,Germany
DEU,2025,3.76666666666666,Germany
DNK,2000,4.325,Denmark
DNK,2001,4.525,Denmark
DNK,2002,4.58333333333334,Denmark
DNK,2003,5.40833333333333,Denmark
DNK,2004,5.5,Denmark
DNK,2005,4.84166666666667,Denmark
DNK,2006,3.90833333333333,Denmark
DNK,2007,3.75,Denmark
DNK,2008,3.68333333333333,Denmark
DNK,2009,6.40833333333333,Denmark
DNK,2010,7.75,Denmark
DNK,2011,7.75833333333333,Denmark
DNK,2012,7.78333333333333,Denmark
DNK,2013,7.375,Denmark
DNK,2014,6.925,Denmark
DNK,2015,6.26666666666667,Denmark
DNK,2016,5.98333333333334,Denmark
DNK,2017,5.81666666666666,Denmark
DNK,2018,5.15,Denmark
DNK,2019,5.025,Denmark
DNK,2020,5.625,Denmark
DNK,2021,5.10833333333334,Denmark
DNK,2022,4.475,Denmark
DNK,2023,5.10833333333334,Denmark
DNK,2024,6.19166666666667,Denmark
DNK,2025,6.35833333333333,Denmark
FIN,2000,9.78333333333333,Finland
FIN,2001,9.125,Finland
FIN,2002,9.07499999999999,Finland
FIN,2003,9.00833333333334,Finland
FIN,2004,8.82500000000001,Finland
FIN,2005,8.4,Finland
FIN,2006,7.71666666666667,Finland
FIN,2007,6.86666666666667,Finland
FIN,2008,6.36666666666667,Finland
FIN,2009,8.36666666666667,Finland
